Question,Answer
does it come with the windshield mount for the radar detector,Yes and also Velcro
What is exactly included in the package ?,"Detector, power cable, dash mount (suction cup-shown), window mount, cigarette lighter power adapter."
Is the power cord included for the radar detector? If not what powers this up?,"Yes, power cord is included."
My iPhone syncs with my car's bluetooth so I can play music on my phone through my car. Would I be able to connect this via bluetooth to this and car?,"Yes, and they even have a control on app for music so you don't have to close down radar dash display on your phone"
will work in other Country not USA?,Depends on what band radar they use in your country. You can google which bands the police in your area use. But I do believe most radar is ka and k band. I know there few country that use x band and it covers all those well.
Can you have more than one Bluetooth device connected?,I do not believe so
"Will this work on any iPhone? If not, what versions are supported?",I have a 5 but I believe 4s or higher is what is required
Is the iRadar 500 only for iPhone or will it work with Android phones?,It works with android you just have to download the correct app: http://cobrairadar.com/
I am not nor someone who knows cameras.. is this a good camera to start with? or shoud I get something else??/,Maybe start with something a little less involved I know a little about cameras and this is my first dslr and I've had it for 5 months its not something you learn to use in a day I love mine but you have to be willing to learn th camera
are these items brand new?,yes
"Is this camara good for action shots,Such as games, racing, moving animals? I saw in a review it that isn't good for action pictures, Thank you",I don't know. Sorry. It was a gift for a family member.
"I am in Europe but go quite sometimes to US. If I buy this camera, the warranty is only applicable in US or worldwide?",worldwide
Does it matter that the camera does not have image stabilization? Do you get blurry pictures? I was looking for an entry level DSLR,"I believe my lenses have stabilization. Regardless, my pictures are far from blurry unless I make a mistake."
Are these offers for Nikon 3200 covered by US warranty?,"Yes, 1 year"
"this camera is new, comes in its sealed box as well as other accessories of the kit? bring an extra battery for the camera?",Yes it is all new and boxed. I have yet to run into any battery issues but never a bad idea.
Does this D3200 camera have HD movie capablility??,"Yes, although I am not sure if its 720 or 1080"
Is this Nikon made products or some China made stuff?,Unfortunately yes. some in ThaiLan
Everything comes In one pack only?,"Yes, only in one big box"
"Of the two available memory slots, can a 250 GB be added?","The are four memory (RAM) slots on this model and two of them will be filled with 1GB memory on each. Only one hard drive can be installed on this small form factor tower. If you are planning to add a secondary 250GB Hard drive, please look for full/mini tower size Optiplex, which will have room for two hard drives."
How many memory slots are available?,"This system has 4 Slots total, 2 Slots will be filled with memory."
Does the PC come with a Windows 7 installation disk?,no it was already installed
"There are two descriptions, E4300 processor at 1.8GHZ and E6400 at 2.13GHz. What would I be getting?","Hi Kingtiger, this computer comes with Core 2 Duo 1.8 GHz as stated in product title and product description. Please disregard the bullet points."
"Hi does it have a built in wireless card? What type of internet connections does it have""","Dear customer, this computer does not have a built in wireless card. It comes with onboard Broadcom 5754 Gigabit Ethernet which will provide high speed DSL cable connection to internet. This computer can easily be made wireless ready using a WIFI USB adapter which can be found for $10-$15 on amazon."
Is the operating system Windows home premium or professional? 64 bit or 32 bit operating system?,"Hello Timothy, thank you for contact us, is Windows 7 Home Premium. 32bit"
will it work wireless,"Hello James, thank you for contact us, yes the adapter sold by separate arrow $6 more"
What sort of Graphic card is in this computer?,This currently comes with onboard Intel Graphics Accelerator (GMA) 3000 Series. You may upgrade the graphics by adding a Half Profile PCI-Express card to this unit.
Is it 32 or 64 bit processor?,"Hello, thank you for contact us, this system is 32bit 64bit capable."
wifi included?,"No, you have to buy the adapter separately. We have this bundle, and I would recommend considering buying the camera and the components that you want individually (and getting the wifi) rather than buying the bundle."
does this camera come with a rechargeable battery and charger?,Absolutely it does. I wouldn't have bought it otherwise.
Is a HD Video quality,"Yes, the video is HD quality. I am a relative novice to photography and it simple to use. There is a book and a CD that came with it that is simple to understand. I took 188 pictures and some video at a recent wedding and the quality is amazing. If you decide to buy it, you probably won't be disappointed. Good Luck"
Do one of the lenses coming with the Nikon D3200 take very close-up photos. Will the camera/lens produce fine details of close photos?,Yes the pics come out with great detail. I cannot remember the lens itself but I have not purchased extra lenses. I have even gotten good results when I zoomed in on pics already taken.
"does the camera body is enveloped and sealed in separated box ""original box of nikon"" as what i can buy from nikon directly",Yes. The camera comes in an original box from Nikon.
"What is the battery life in Live Mode, shooting video? (Approximately)","I haven't taken much video with my camera. However, I have left my camera on by accident and taken multiple photos on several different days without the battery going dead. I think it has a good, long battery life. Not sure if this helped, but told you what i know about the battery."
Does the camera and lenses come with USA warranty or are they grey market items,"Definitely USA. I had an issue with mine (I dropped it) and it went to a place in Long Island, NY. They repaired it quickly. Originally, they said it was free - under warranty, but once they figured out I had dropped it, they charged me ( a minimal and fair price)."
does this package include a lens cover and camera strap,"Yes, it does."
I'd like to know what type of battery this camera works with and if it's included. Thanks,"I recently purchased this camera kit. I rated it excellent in quality and function. The battery does come with it. I would recommend purchasing a second battery if you plan a lot of ""out-back"" photography. The battery life is aprox. 5 hours of use. That's more pictures than you memory card..:-) I do NOT recommend the Sony SDHC card included. Go out and purchase a couple of less expensive smaller cards and save them over to your computer often. My Sony SDHC failed on the second day. I've reformated it but don't trust it. The case included will not hold everything. You'll want a larger case to hold the camera and both lens'. I found an excellent Nikon case at Best Buy for around $70.00. I'm sure you can find one on Amazon for a better price... but it's hard to tell if everything will fit without seeing it. HAVE fun and capture those moments."
which is a better camera for a beginner cannon rebel tsi or a nikon,Nikon because it will grow with you. Easy to learn to use and has all the features that you will need later on.
can you search the internet without wifi,You need wifi to access internet.
Will it load google play?,"It will use google play Make sure you are connected to the Internet before you do anything. To use Google Play to download Android apps, you'll need to have a Google account with a Google email (either Gmail or a Google-hosted domain) associated with your phone or tablet. Follow these steps to add an existing Google account to your device or create a new Google account for use with Google Play: Turn on your device and tap the Google Play Store app. If you haven't added an email account to your device, you'll be prompted to ""Add a Google Account."" Follow the instructions on the device, which will walk you through either signing into an existing Google account or creating a new Google account. Once you have added your existing Google account or created a new account, you'll be able to use Google Play to download Android apps. Keep in mind that if you intend to purchase apps, you'll also need to make sure your Google account is set up for use with Google Wallet."
Anyone know how to install an external keyboard?,"Try a ""Blue Tooth"" device."
can you download photos from your camera into it,it has a sd card slot so anything you can put on that card should be able to make it to the camera though i've never tried.
Has anyone else exchanged their tablet through Machspeed? How long does this take? My tab was DOA so considering taking this back to the store.,"I have had to exchange twice and am about to again since the third unit has also failed. The turn around time has been about two weeks after I received the RMA number. DO NOT RETURN WITHOUT GETTING AN RMA NUMBER FIRST FROM THEM. My shortest call to date with them has had a waiting time of eight minutes, the longest was 20. If the unit you purchased had an HDMI port, be advised that the replacement will not."
Which country was this product made in?,China
can you download paint programs,Anything available on amazon appstore I have been able to use. If you see it there it can probably be used. You cannot use google play store with this device though even though its a droid.
can you download netflix,Yes. Get Amazon marketplace
"I am going to Spain, can I charge my Trio Stealth lite 4.3 in a 220 volt pulg?",I'm almost positive you would need a converter.
Which battery stick has the best reviews,I get 1 recharge of my HTC One using the Powerstick. Enough to let me do what I need to do.
Can I use it for my Kindle?,Yes.
when charging my powerocks the light doesn't turn from blue to green why is that?,"The charge colors are as follows: Empty - LED off less than 30% charge - LED red 30-70% charge - LED green 71-100% charge - LED Blue So according to your question, the LED should never go from blue to green (if its charging). So if the LED is blue for a long period of time during charge, unplug the device from the charge cable and press the button. If the LED is blue, it is fully charged, but if the LED is green, then it has a charge between 31% and 70%. Hope this helps, and remember, you can always contact Powerocks directly and they will help troubleshoot issues with the Magicstick."
red or blue which color means fully charged,Blue means fully charged.
Is this compatible with iPhone 6?,"Sorry, I don't know"
Can I charge a droid 4 with this,Yes you can.
"does it come with a variety of connections for any cell phone, not just IPhones and smart phones?","It comes with one USB cord. That USB cord works to charge it and then by reversing direction, to charge other items. The connector works with any mini-USB connector--so most Android phones with the standard mini-USB connection. For other connection types, you need to bring your own USB connector. That includes iPhones."
Can this be used overseas? Don't understand how it is recharged...,don't know
Can Icharge a go pro camera battery?,To be honest maybe I use it for my iPad and iPhone
can i use for iphone 5?,"Yes it works well on mine. You will just need to use the iPhone 5 USB adapter, because it is the USB end that plugs into the Magicstick."
Do you charge the magicstick to an outlet? I do not want to charge with my computer,either way. If you have an external usb charger you can use. I use the charger from my iphone.
Does this charger work well with the kindle fire hd and for low long does the battery last?,"The charger work with the kindle fire HD but I don't think it will last long (maybe one charge) 2600mAh. I only use for my Iphone5, but you can use it with any device that have an usb cable."
Could someone please tell me how to use this. I charged my phone once with it and now it will not charge my phone again after I have charged the item,I'm not sure if this applies to your situation but when you push the white button on the end of the stick is it red or blue? If it is red the powerstick needs to be charged. Plug in the black cord into the micro usb slot and the usb end into either a usb wall connector and plug into an outlet. It takes about 3-5 hours for the powerstick to fully charge depending on how depleted it was to begin with. The white button will be red when you plug it in (after a few seconds) then stay red as it is charging. Once it turns blue it is fully charged and you can use it with your phone as needed.
This is not universal is it? My friend uses it for an iphone 4. It does not fit into an iphone 6. We tried to plug it into mine today.,It DOES fit the iphone 6! I use it every day.
How long is the warrantee period?,"Whatever it is, not long enough. Mine stopped working after 15 days and I sent it back for a refund. The connector is very fragile and I never break ANYTHING (very careful with my stuff). This is a problem with this unit - the connector seems to not be soldered well or mechanically sound."
Can you recharge this device in a 220 volts outlet over seas?,I am not sure. I have not used it outside the US
"Hi! Can I , using this device, connect my Samsung phone to my Amplifier thru Bluetooth and play stuff? Thanks again.","Hey there- If I were you I'd TOTALLY stay away from this product. Yamaha 2nd level tech support called me 8 days later and I explained to them that I didnt want to speak to them and how disappointed that a 2 year old $2000 receiver couldn't get support - they were the ones who told me to buy the YWA!!. The YWA-10BL isnt made for Bluetooth; youd be better off buying, like I did, a TP-LINK TL-WA801ND Wireless N300 Access Point, 2.4Ghz 300Mbps, 802.11b/g/n, AP/Client/Bridge/Repeater, 2x 4dBi, Passive POE for $21.79 and using an Ethernet cable to connect to your receiver allowing it to pick up your WIFI signal. Mine is working 100% now. Again - stay away from this Yamaha product! HMU with any other questions!"
"I bought the bluetooth adapter, &amp; assume I can play my iPad or PC through the receiver, + Pandora if I have it. What's different about this product?","This product allows you to connect to your wireless network with your Yanaha receiver. It can only be used on those receivers that are set up with an Ethernet plug for connecting to a wired network and the Internet. Usually the AirPlay works through the Bluetooth connection which is not part of this device. This will allow you to connect to Pandora and SiriusXM services through your network and the Internet. If you have the receiver close to your network router and can plug an Ethernet cable into the receiver, you do not need this. If you have the receiver no where near your router and you have wireless network, you would benefit from it."
Will a standard USB network adapter work?,Yes
Will this unit permit video streaming from the home network?,"I believe Yamaha A/V Receivers only supports audio network services (Pandora, net radio etc.). You can connect a separate box that streams video to the receiver but that box would already have an internet connection."
Will this work with an Airport Extreme router? Not sure if I have a defective unit or if they do not work together.,I sent back the unit I had. it worked with nothing.
I want to connect my Yamaha Motif XF to my computer wirelessly. I want to know if I can do it with this device or not?,"Your Motif XF would need a USB and and ethernet port. The ywa 10 will connect your Yamaha Motif to a wireless hub wirelessly if you have the USB and ethernet port. You will have to program the ywa 10 to communicate with the wireless hub. Any devices you can access from the wireless hub including a computer should communicate over IP protocol if your Motif has this capability. If you want your device to communicate DIRECTLY with your computer rather than through your wireless hub, you would need the bluetooth adapter. Your Motif XF would have to have the connectors for the bluetooth device, i.e. connector port and USB port on the Motif and the Motif would have to be bluetooth capable etc. The bluetooth device is the ywa 11 rather than the ywa 10. The ywa 11 requires a power port and a usb port, which would have to be on the Motif XF to connect it. You also have to see from the product literature if your Motif XF can communicate with a computer via bluetooth."
I bought a Yamaha RX-A1040 with WiFi already. But it sits in a cabinet and gets no signal. Would this help get a better WiFi signal?,"I purchased one of these and after 2 weeks of striving with it , I sent it back. I was at Costco and saw a wi-fi signal booster that you just plug into the wall which would help with this issue;Called ""amped signal booster""Item #629754 This brand 9Amped) is also available at Amazon and is the way I am going to go.I would avoid the YWA-10! Best regards."
I have a dvd player with wifi. Will this serve as my wifi connection for this unit?,Probably but the product is awful as stated so I couldn't recommend it anyway.
Is this the only wireless adapter that can work with the Yamaha V675 reciever or can I use any wireless adapter?,"I don't know, but this one that I bought dosn't worth a dime, no connection at all."
Does it work with the Yamaha Clavinova 609 for wireless iphone and iPad connection?,"I would NOT buy this item. Yamaha support is horrible - I was on the phone for over 3 hours and different people told me different things. I bought a TP-LINK TL-WA801ND Wireless N300 Access Point, 2.4Ghz 300Mbps, 802.11b/g/n, AP/Client/Bridge/Repeater, 2x 4dBi, Passive POE and am much happier! Take my advice - the YWA is JUNK!"
Can it convert Blu Ray player's HDMI output to SDI?,No. Blu Ray has HDCP copy protection.
Unit unstable. Locks up but drops the video every few seconds showing a black screen. Any ideas?,Please check all the connections and replace with a new power supply. If the problem remains please send it back. Thanks!
any experience coming out of gopro? I'm having a problem with one I bought.,this works well - I have a few of them.
"the box indicates it has a signal, but not seeing signal on hdsdi atomos input","Roger, shown is a avue which has a green light when hooked up. The atomos does also have lights and can send a signal pattern to your screen also."
"Do you know if it needs power supply? If so, can I use it with 220-240V in Sweden and Europe? Includes it any adapter to the power supplies?","Darya. This item comes with a standard 5V DC (110/120V) power supply. If you are using it in Europe, you just need a voltage converter from 120 to 240 and it should work fine. I don't believe it has an auto switch inside so you cannot just use a plug adapter. Hope that helps. Sam"
Can the SDI output be 1080i?,"Yes, that is what I us it at."
Will this work with the stem television studio?,"Atem television studio? You wouldn't need to. That's has all the input output You need. Use this if you want to run, for example, a DSLR camera with HDMI output to an SDI only HD pruduction monitor."
Will it convert 60 frames per second to 59.94 frames per second?,"I haven't tested this specifically, but I'd be very surprised if it did. This isn't a scan converter/scaler/etc; it's just a HDMI-SDI converter. Dave G, who has answered this question is mistaken; the BMD TVS accepts both 60fps and 59.94fps inputs on the same setting (for instance 1080i60 will accept 1080i59.94 inputs) without any conversion, so the behavior he is experiencing is not evidence that conversion is going on. (I own 3 BMD ATEM 1 M/Es.) If you need that sort of 59.94-&gt;60fps conversion (which you don't need if you are using a Blackmagic switcher, fwiw), I would recommend a BMD UpDownCross mini converter, Grass Valley G1, or Decimator UpDownCross converter. Or any sort of scaler (TV One, Atlona, BMD Teranex, Kramer, etc etc etc). If you also need the HDMI-&gt;SDI conversion Decimator is the way to go; their little MD-Cross box is a miracle. Simultaneous SDI-&gt;HDMI and HDMI-&gt;SDI, with scaling on all inputs. The little guy does everything you'd ever want."
"When I plug in HDMI, I get nothing coming out SDI. Does SDI status light when a signal is being sent, being received, or when SDI is connected??","when the sdi is connected you will see the green light on, if you don't have the sdi cable connected to the switch none."
Can someone post the vertical distance from the top wall-mounted screw hole to the center of the moving face plate? I want to center the mount.,"It is a little difficult to measure with the Tv on the mount already. If I measure the top of screw for the plate that sits on the wall and push the mount closed to get a measurement of where that moveable plate sits, it is roughly 2and 3/4 inches. If you need a different measurement, let me know."
"Will this Mount work well with a 60"" Panansonic P60ST50 Plasma TV?? I believe it to weigh 85 pounds.. I dont want something that sags.. Please help!","The 47"" Philips I bought this mount for weighs around 100 pounds - that's no problem. The mount is rated for 165. As long as you hit both studs on center and snug all four lags up I don't see how you could have an issue with sagging."
"Where are the wall mounting dimensions. As typical for overseas products, they seem to always lack the important details...",Bracket is 25.5 inches wide and the holes are spaced 6 1/2 inches from top to bottom. Should easily stud mount at least 2 screws.
which side is up on this mount?,"It doesn't really matter. Both sides are symmetrical except for the built-in bubble level. If you must have an answer, I installed mine with that on top."
"i have a 55"" 65 lbs Samsung ln55b640, i believe it to be a versa 400 x 400, will this work for it?","Yes, it will. And in an attempt to answer future questions like this about specific models - this mount seems very versatile to me and comes with a lot of extra mounting hardware which should make just about anything work out. There is a lot of steel in the construction of the mount so I would not worry about weight until you are up towards the 160-170 pound range."
"How wide is the part that mounts to the back of the tv? The holes in my TV are exactly 26"" apart","The front plate is approximately 31"" wide. This mount is compatible with the bolt hole width of 26""."
"Has anyone mounted this to metal studs? I got two toggle anchors with it, but they aren't mentioned in the instructions.","Same as with any tv mount. Buy 4 toggle bolts from Home Depot, locate the metal studs, drill through, and insert the toggle bolts and wall plate through the metal studs. Look on youtube for videos on how to do this."
Will this work with just a 100 x 100 VESA mount?,Why would you want this mount for such a small tv?
"With the arms all flat, what is the distance between the wall and the rear of the TV?","With the arms flat, there are 4.5 inches between the tv and the mount. It extends about out about 20 inches."
does it work with iphone5s? also does it have noise cancelling function?,"Thank you for enquiry. Throne Gold comes with 3.5mm audio jack that works with all iPhone and other audio device that provide music from an 3.5mm female jack. However, if you would need a inline volume control over your iPhone, you can choose Throne White Device or Throne Dark Angel which is ""Made for iPhone"". Throne do not have an Active Noise Cancelling function that requires battery. But it has a very good sealing that it provides a good passive noise canceling."
does it work with iphone5s? also does it have noise cancelling funtion?,"They are actually ""made"" to work with iphones, and these work perfectly."
Are they compatible with iPhone 4s?,Yes they indeed are!
ARE THEY FULLY COMPATIBLE WITH ANDROID PHONES,"Dear Yves-Fritz Samuel, Thanks for enquiry. Both Throne Gold and Throne Poison are full compatible with major Android Phone that use 3.5mm jack like Samsung, LG, Nokia..etc. Some particular brands or models having slightly different configuration, that our pack comes with a little adaptor that helps to do the conversion. Please note our another Throne Model (Dark Angel and White Devil) are only iPhone compatible. Happy Shopping and Happy Easter! I-Mego Customer Service Team"
When using these as a phone headset can you hear your own voice through the headset?,"no, they work just like a regular headset or phone."
Is this a noise cancelling headphone?,Oh yes...!
"Can someone please explain the difference between the Pentax 35mm DA L F2.4 AL lens, the Pentax DA 50mm f1.8 lens and the SMC Pentax FA 50mm f/1.4 besides the price? What does ""AL"", ""DA"" and ""FA"" stand for?","The major differences are the focal length (50mm and 35mm) and aperture (f2.4, 1.8 and 1.4). You may not be asking about focal length, but since there are two different focal lengths here: The focal length sets how ""wide angle"" or ""zoomed in"" you are. Bigger numbers are more ""zoomed"". You'll find it easier to frame a shot with 35mm than with a 50mm, especially in tight situations. These are considered standard all-around middle of the range, sizes with true wide angle at around 14mm and telephoto above 100mm. The focal length in these lenses doesn't factor much into their relative prices. What you probably really want to know. DA is a lens designed for modern digital SLRs with a smaller than full frame (35mm) sensor. Old film cameras are considered full frame. FA is designed to fill a full frame (35mm), which applies to film cameras or very expensive super-pro modern DSLRs. Unless you have one of these, you don't need the FA. AL stands for aspheric elements. This can add a bit to the price of the lens, but usually improves sharpness and other factors. Last bit of the puzzle are the apertures. Smaller numbers mean the lens can gather more light, making it possible to shoot in lower light situations (sometimes called a ""faster"" lens). There is a tradeoff though, shooting with a bigger aperture will shorten you depth of field, a desirable effect in some situations, but not always good for pointing and shooting. For instance, the 1.4 is a particularly big aperture. You would only be able to focus on items at a very specific distance at any given time, anything further or closer would be out of focus (look up ""Bokeh""), which, again, can make for a dramatic effect. 1.4 is typically limited to only the best, most expensive lenses for discerning photographers. Overkill for the rest of us. Anyway, in sum, I have both the 35mm 2.4 and 50mm 1.8. Both are great lenses and can be found for a bargain. Either one will produce better pictures that you get with the typical kit lens. I highly recommend you buy the cheapest one you can find and try shooting with it wide open (i.e. at f2.4 or 1.8). Be sure to turn off the flash. You'll see a certain professional pop in the pictures that is hard to describe."
I have never owned a SLR before.Please tell me what this lens would be used for vs the pentax DA 35mm f2.4 - would u rec 1 over the other or both? My main goals will be to shoot family photos (3 kids) and my kids sporting events (indoor and outdoor). -...,"I don't have the 35mm 2.4 but I do have the 35mm 2.8 macro which I like very much (though the price difference is considerable). The 50mm is an excellent lens and is one of the first ones I grab when I go shooting. I will say though neither the 50mm or 35mm are good for sporting events of any kind. You really can't get the distance shots with either so you might want to reconsider using them for those purposes. The 50mm and 35mm are good for family photos, street photography and candid portraits. I hope that helps."
What is the minimum distance at which this lens can focus?,45 cm (1.48 ft.) from pentaxforums.com
"Reviewers claim to use and like this lens on the K5 and/or K5iis, but Amazon says it will NOT work on the K5iis",Amazon made a mistake. Please find the answer on Pentax's website. http://www.us.ricoh-imaging.com/camera-lenses/smc_PENTAX_DA_50mm_F1.8#!product-specs http://www.us.ricoh-imaging.com/dslr/K-5_IIs#!product-specs KAF lenses are usable on K-5 IIs.
Is this lens compatible with a K-3?,Yep it is
looking for prime lens for pentax k50. amazon compabtiblity checks says this lens will not work. Anyone know if this is true?,"I own the lens it works perfectly on my pentax k30 and should work perfectly on the pentax k50. I am not sure what compatibility check would claim it does not work on the k50. The lens at f1.8 is fast, it is inexpensive, it is sharp and is a my favorite lens for portraits."
"Will this lens work with the K50? When I search for k50 lenses this is the first one that comes up but the little camera guide tool says ""no"" it won't","Yes, this lens will work with the K-50."
Does it work with Pentax K- 30 ?? or Do I need a adapter??,Yes it works
Can you compare this lens with Pentax 18-55 II?,"This lens and the Pentax 18-55 II are not really comparable. The 18-55 is a zoom, and the DA 50mm f1.8 is a prime, meaning, of course, no zoom. It's fixed at 50mm. Also, the 18-55 II will only open up to f3.5, so you really won't get the lovely narrow depth of field that you get with the 50mm f1.8, which is what makes this lens so attractive and seductive. So I guess it depends on what you want. The 18-55 would make a better walk-around utility lens. The 50mm f1.8 is a specialized, portrait lens that will give you a fantastically blurred background when shooting subjects up close. Personally, I think you should have both in your lens collection."
Does this lens come with lens caps?,Yes. Both front and back.
Will this fit the Shure SRH 440's?,"I'm not familiar with the design of the Shure SRH 440's headphone. If the headband on these Shure headphones are too wide this replacement upgrade probable will not fit. On the other hand, if the headband is narrow no more than an inch it may work. I used this replacement on my Sony MDR-V6 phones which are an inch wide & I had to really stretch this band on my headphones to get them to fit. Once I got the snaps shut it stayed in place. Hope this information helps you!!!"
Does it work with the Sony Pulse Elite? http://www.amazon.com/Pulse-Edition-W...,"Yes, I can confirm that this fits on my Pulse Elite. However, you will really need to muscle it on. Once it's on it fits well and looks pretty nice. It covers up the bare plastic headband with a nice leather one and greatly improves the comfort of the headset, but be aware that you will feel like you are breaking the headband as you are buttoning it up."
"Hi, fit into the creative aurvana live?",Hi. Jesus. Those headphones seem to have a narrow band as seen on the web. The replacement cushion fits on my headphones snuggly which was good. For the price I would go for it! If needed then some foam could be put under the cushion. The snaps should face away from your head.
Will it fit the BOSE Quietcomfort 15?,"I don't know why Dean does not think this works? I bought this replacement well over a few months ago and it's working perfectly. I wish we could post photos here, I'd show you!"
Would this fit Audeze lcd2?,"I believe these are High-End headphones. And, the covering of the headband is peeling/wearing out. I cannot say for certain. (Too note: I believe you can order and return if they do not fit.) I purchased them for SENNHEISER headphones. HD 280 and PXC 350. Models are about 8 years old now. Judge accordingly. Hope this helps."
How wide of a head band will this fit? I have the Sony MDR-V600 headphones.,I have one of these on my Sony MDR-V6oo headphones!!! This replacement headband will work on these headphones but you'll have to do some work at getting them on. I had to do some stretching of the headband snap by snap at getting this on because the original headband of the Sony is larger than this replacement. Your going to have to have some patients at getting this on. But once you get this on your phones it work well. Hope this answers your question!!!!
do they fit on the audiotechnica ath50s? need it because there is practically no cushioning on top. hurts using it.,Yes it fits. It's a bit difficult to get on though.
Will it work on akg q701,AKG headphones follow a particular headband design. I am not aware of the designated series (q701) being any different. AND! I would say NO! This replacement upgrade will not fit AKG's.
will this product fit Beats Studio Wireless headphones?,I do not know. The Beats Studio Wireless are a fairly new headphone product. (I purchased the bands for a 2008 purchase of a pair of SENNHEISER headphones.) The product info. page on Amazon should tell you the headphones that the pads are intended to fit.
Anyone using this with audio technica ATH-M40fs headphones? Thanks!,Don't waste your money
isn't it 1.9GHz? http://www.cpu-world.com/CPUs/Core_i7...,DB52 variant only ships with a 128GB SSD. The difference between the DB52 and DB51 is the fact that DB52 ships with a TPM - great for enterprise laptop users but really unnecessary for every day users. There is a chart out there that we can use for reference but it's hosted on another e-tailer website. Think of King Arthur's sword+PC...dot com. EDIT: DB52 also comes with Windows 7 Professional
"In the description it says 256 GB but when we click on more technical details, it says 128 GB... what is the right answer ?",256GB. You can verify this by looking up this model number on excaliberpc.com
why does amazon say that the ux31a xb52 will ship in 1 to 2 months? does this mean that it isn't out yet?,This model was released a few days ago and can be found for sale on excaliberpc.com and CDW.com I don't know why Amazon doesn't yet have it in stock. Being an Amazon Prime member I want to take advantage of 2-day shipping and not wait an undetermined 1-2 months before I get it. Gee you would think that Amazon is one of the largest (if not THE largest) retailers of this product so would have first crack at having them in stock. I'm baffled.
"Which does this model have? The technical details say that it has a 256 GB SSD, but the specs say it's 128. I ordered one based on the 256 GB spec.",I believe the model numbers after the UX31A-DB?? mean the following: first number is the Core i5/7 and the second is the SSD size 128/256. So DB52 means i5/256.
UX31a with i5 and 256GB SSD? Is there going to be any i5 with a 256GB SSD at all?,Look for the model number DH52 or XH52 or DB52. I don't know if there will be that model but the 5 and 2 signifiy an i5 processor and 256GB SSD. When looking for this model keep that in mind.
"I think there is an error, isn't this model is supposed to come with Windows 7 Professional?",http://zenbook.asus.com/zenbook/ According to Asus website it can be with: Genuine Windows 7 Home Basic 64 bit Genuine Windows 7 Home Premium 64 bit Genuine Windows 7 Professional 64 bit However i found it really hard finding the previous Zenbook with professional
Is this model touchscreen?,no
Why does the tech specs say the hard drive spins at 7200rpm? Isnt this a ssd?,The drive is a SATA III SSD drive and as such has no moving parts to spin.
Does Asus UX31A-DB72 include Sandisk i100 SSD or Adata XM11 Sandforce based SSD ?,Its a lottery from ASUS...so like screen bleed intensity ( because almost all asus screen come with different bleed screen degree)
car / airplane charger: Is there a car / airplane charger that works with the UX31A ?,I have searched for one. I've confirmed that neither Targus nor Duracell have support for it yet.
Release Date?? Anyone have any idea when this might be available?,Nov-12
How did you determine the solid state drive spins at 7200 rpm?,solid state drives do not spin unless it is a hybrid drive. I do not think this model contains a hybrid drive.
TYPO?? Product Dimensions: 2.9 pounds Shipping Weight: 1 pounds,"They may not know the actual shipping weight yet, it probably defaults to 1 pound."
Where do I get the RAM? For this laptop is there a special kind or what.,"You're better to get an 8GB chip that runs at CL11 timing, as the laptop will reduce the frequency the RAM runs at otherwise to accommodate the faster timing, resulting in slower performance. Myself and many others have bough the 1600 MHz Cl11 8GB Patriot, and it works like a champ: http://www.amazon.com/Patriot-Memory-Signature-1600MHz-PSD38G16002S/dp/B007M538DW/ref=sr_1_1?ie=UTF8"
When will this ultrabook be back in stock?,"It has been out of stock since July. There were some noticeable problems with these laptops (in design). Customer complaints about really bad backlight leaking, bent keyboards (in the middle), and the USB slots do not align with the outside shell. Hopefully ASUS tries to fix these issues for a second revision of this laptop. They are coming out with another line of ultrabooks with dedicated graphics minus the IPS screen (:-/). ASUS S Series (this month or next month will be the ""official release"")"
Is there any VGA capability?,There is a proprietary Asus mini VGA port on the side. The laptop comes with an adapter along with the USB Ethernet adapter.
Which 512 GB SSD would fit this laptop? Any help is highly appreciated.,go to Crucial.com put in model number it list all the upgrades ssd and ram
you have real photos?,those are real photos of my device
can it run linux?,"Probably. I've never found a PC that couldn't. No guarantee though. LINUX is a good way to bring old Hardware back to life. I was thinking of installing LINUX on this as a second OS parallel to Windows-7. When I do, I will let you know."
Doesn't this machine violate Apple's patent on thinness?,"Assuming this is a serious question, do you have a patent #? Given that thinness is generally a sought after quality of a laptop, it's unlikely that it, in itself, is defensible in court on many grounds. It would be like trying to patent a car that is fast."
"Should I buy this one now, or wait for the ASUS U500 (bigger, better graphics)?","I am/was split on this thought as well, but personally I feel the costs will be prohibitive of the U500. I presume it'll be around the $1500 mark for dedicated graphics and a 128SSD+500GB HDD (there will also be a 512GB SSD, which will easily make the laptop cost around $1700. The price of the laptop, albeit a subjective point, is for me not worth it considering the absolute POOR customer service reviews ASUS has gotten on here. It's very disappointing, and that's put me on the ultrabook search again after having my doubts about the UX32 :(."
"What i7 processor is included in the UX32VD-DB71? Intel makes an i7-3517U (1.9GHz) and i7-3517UE (1.7GHz), where i7-3517M/UM do not exist!",It is the i7-3517U(1.9 GHZ).
"After using for roughly around 2 and a half months, a popup windows says that I have to replace or repair the Hard Drive, what should I do? Thanks.","i think you sould contact asus , your HDD is certainly giving smart errors to the OS"
"What's the difference between the ""AB71"" in this product number and the same product number but with ""DB71""? Thanks!",The main difference is the size of the SSD -- AB71 is 128GB and DB71 is 256 GB
Is there a fix for the keyboard ribbon problem.,I bought a separate keyboard
