prompt,response
"USPS tracking ... Really? Is there anyone who isn't totally confused (edited from more descriptive previous emotion) from the so called trackling number details of the US postal system?  Have you ever actually found out the details of your package location BEFORE the package was delivered?



    USPS tracking ... Really? Is there anyone who isn't totally confused (edited from more descriptive previous emotion) from the so called trackling number details of the US postal system?  Have...
      » 
Read More


   USPS tracking ... Really? Is there anyone who isn't totally confused (edited from more descriptive previous emotion) from the so called trackling number details of the US postal system?  Have you ever actually found out the details of your package location BEFORE the package was delivered?
      « 

Show Less",Yes they will fit all v8 gm trucks 01 to 13
Does the 5 foot extension come with end caps?,"No, this sensor is bank 1 sensor 2. It's not the same."
Is this for 98 toyota camry and power ?,"Go to your local auto parts store and have them tell you the part number you need.  This will tell you if you have the right part or not.  If you have a harbor freight in the area, you might need the removal tool.  Some parts store will loan it to you.  It's like a spark plug socket with a slit in it that allows the wire to fit while you un-tighten.  Be sure to use anti seize lube on the threads before you replace.  It will help remove down the road."
"Corolla 2007:Drive side is ok (3 bolts), fits well. Passenger side is wrong ( 2 bolts). I had to return RH. Can you suggest compatible RH product?",I'm not sure. I bought this sensor for a different vehicle (Toyota tundra). I think you can do a search on Amazon's web site and figure out the part number. You could also go to auto zone and ask what part you need and then use that info to buy the part from Amazon
"My Jeep does not have fog lamps, but there are holes in the bumper for them. Do I need anything else to install these besides wire and switch??","Don't know.  Probably not.  I used mine in a V-8 pickup.Look for your Bosch part here,http://www.boschautoparts.com/VehiclePartFinder/Pages/VehiclePartFinder.aspx"
Will this fit a 2013 Ford Explorer?,I really cannot answer your question. I purchased this sensor for Toyota Tundra with a V8 engine. Sorry I couldn't give you more help.
"Will this work for french cars (Peugeot, Renault, Citroen etc.)?",On a Toyota Sequoia this part is for Sensor 1 on both Bank 1 and 2.  Sensor 1 is closest to the engine and a bitch to remove.  Borrow a special wrench from Autozone for free.  They were also able to tell me exactly which sensor to replace and the part so I could buy it for half off here on Amazon.
where is it made?,As far as I can recall these are not interchangeable.
Battery Charging Does the battery automatically charge when you plug it in to the computer via USB or do I have to buy the charger seperate.,without knowing what vehicle it fits it is hard to answer.  From what I can find they are not interchangeable.  I would recommend looking up the sensor you need on Bosch's O2 sensor application guide online.
How can I install the TYC 12-5100-01 Chevrolet Driver Side Replacement Parking/Signal/Side Marker Lamp Assembly?,"Very easy installation. The hardest thing was loosing the clip. I had also purchased the sensor removal socket which worked great! I saved over $400.00. That is what I was told that it would cost to service the ""SERVICE \CHECK ENGINE LIGHT"""
"Headlight assembly look black or gray, are they?","you did mean LX470, installation is easy, you do not need to buy the sensor removal tool, you can get it as a loaner from your local auto store.."
is this the 1/4 turn cap,Does it fit a LS430?  Don't know.  I used it on a Toyota Pick-up truck.  The Bosch website has the compatibility catalog I referenced before buying this item.
Does this come with lids?,On my 2002 Tundra it was the Upstream sensor on the passenger side.
Size of the cover,"On my 2000 Toyota Tundra V8, it was the upstream sensor.  If the Sequoia has a 4.7L V8, it is probably the same."
Is this tape vinyl or cloth webbing?  Thnaks,on my 2000 tundra..it's located before catalytic converter ..But I'm not sure on sequoia
"Will this work to repair scratches/discoloration on plastic eyeglass frames?  Not the lenses, but the frames.",This listing comes with a one year manufacturers warranty.
is it 1 or 2 pieces ? back and bottom,"Don't remember, it's been running over a year with no problems.  The alternator arrived on time, it appeared brand new.  Works as advertised.  I would recommend this Bosch alternator."
Will this fit my 2014 Toyota Highlander? And do I need an already existing roof rack?,Bosch provides an Unlimited Mileage Lifetime Warranty on all new Alternators.  See:  http://www.boschautoparts.com/documents/11100/0/0/9769b052-178c-434d-8301-136ff172fdfd
Does anyone know if these pipes fit a 2015 Road King,Its 90 AMP and perfect fit to my Jeep Wrangler 97 TJ. Only I changed my old alternator pulley to this new one. that's all.
will this work on a 2014 Camaro SS 1LE/RS manual transmission car,"I agree with Ayesh, swap your pulley over and you will be good to go."
Is it water and sand proof for the beach?,"According to Centric ( who i believe more than Amazon) , an 06 Civic EX uses a 120.40056 front rotor and a 120.40040 rear rotor.  An 06 Civic GX uses a 120.40036 front rotor and a rear DRUM-no rotor. My belief is with Centric's chart more than Amazon's chart but I am not the ultimate expert - just a pretty good DIY  guy.  Remember my suggestion regarding the Phillips retaining screws - it saves you a ton of grief."
Is this removable,And ya there's two different parts.. I checked on centric because the first one I bought were for the rear disc. So look online and see which number it is for your car
What is the dimensions of Presto Fit 2-203 jumbo radius wrap around covers,"I purchased Centric rotors for my 2003 accord, but before doing so I went to a few other sites like autopartswearhouse or brake world and found the actual part number to see if Amazon's would match. The part finder on Amazon isn't always correct. There's time when Amazon would claim ""this part does not fit"" when in fact it will and other times when the opposite is true."
This polisher is 120v-240v? Thanks,Hi if the pads still good you can use them..rotors are all stock size no different from eom. These rotors are the same material cast iron..you should have no problem. I hope this help.thanks Anne
"Is this a wireless system,  it was shown in my wireless search",I have used Wagner Pads with these rotors only because they are half the price of Honda Pads but these are great rotors and I see no issues with using Honda Pads
I weigh 330(give or take a few lbs). Would you recommend this for me? I don't need a bunch of speed. Would it pull me up a slight hill?,No issues - use them.
Does this charger stop charging automatically when the battery is charged?,I think it good for that!!
Do these come in white?,DO NOTTTTTTTT BUY THESE!!! These only lasted me 3 months. There not premium rotors. You'll just waste your money. After I took em off I went to autozone and got me ceramic rotors and ceramic pads. They stop better and so far lasted me a while plus 3 year warranty
How long is the cable which connect with the cigarett lighter? Thank you,"This rotor is perfect fit  my 2005 Accord LX i4. The black coating does good job no rust. It is OK for daily driving. Since, you got the Honda factory pad, just go ahead to install. My original Honda pad last up to 90k miles from new. However, my 09 Civic only last 40k miles. Just keep your eyes on them periodically. You may keep the old rotors  n turn it for the next  brake job. O'Reilly auto asking $10 each for the turn rotor service."
Does this include the driver side and passenger side mats?,"Same here, less than a year and is rusting. Actualy, hasnt even seen a winter yet! Be nice to really find an American made rotor these days and one that doesn't rust."
How much higher does this lift the tire vertically?,no but make sure you replace both. these are very good quality and a much better price than you could get at a parts store.
will it fit 8 hp,Never saw them sold in pairs.  Excellent value - check out my Honda hints to keep from going crazy changing these rotors.
Do these fit over original rock rails?,No
does product come with 1 or 2 straps?,"No, just one."
"Could this work on a 1974 CB550K? I understand it wouldn't be plug and play, but could it work?","Go to ""centricparts.com"" - on the left is a box ""select your vehicle"". enter your detailed Honda Pilot information and you will then know for sure which rotor is correct for your Pilot."
What is the wattage?  They could have stated it...Need for replacement cabin light in boat...a 921 --7 watt.,We used on 2005 accord
are there different baffles for sound?,Probably not. Every car has it's own size. U might want to check it first when it asks you what kind of car you have
Will these work on a 2004 Hyundai Santa Fe?,Not sure about 2010 models. I had no problem installing it on my 03 Accord coupe.
where is this made?,"Go to centricparts.com to confirm but according to them, all LX/LX-P use this rotor.  This was a superior rotor to original Honda rotors.  Since you have a 2010, the two screws holding the rotor on may not be heat welded to the rotor but I STRONGLY, STRONGLY recommend two things to make your life MUCH better: A) order an impact driver Powerbuilt 648002 1/2-Inch Drive Impact Driver Kit for about $12 from Amazon when you buy the rotors.  If you strip the Phillips screws (as VERY often happens with a regular screwdriver), you will have a TON of frustration trying to change the rotors. 2) take the screws to a GOOD hardware store (Ace, True Value, etc.) that has a huge assortment of screws.  Get a HEX DRIVE metric screw to put in the place of the STUPID Phillips screws - they can be a longer length than the factory screws - no problem.  USE ANTI SEIZE LUBE sparingly on the new screws.  Talk to anyone who replaces Honda brakes and they will each have at least 1 horror story about the rotor screws.  Honda engineers need to have their n**ts squeezed for this simple goof that has tortured a generation of mechanics.



    Go to centricparts.com to confirm but according to them, all LX/LX-P use this rotor. This was a superior rotor to original Honda rotors. Since you have a 2010, the two screws holding the rotor on may not be heat welded to the rotor but I STRONGLY, STRONGLY recommend two things to make your life MUCH better: A) order an impact driver Powerbuilt 648002 1/2-Inch Drive Impact Driver Kit for about $12 from Amazon when you buy the rotors. If you strip the Phillips screws (as VERY often happens with a regular screwdriver), you will have a TON of frustration trying to change the rotors. 2) take the...
      » 
Read More


   Go to centricparts.com to confirm but according to them, all LX/LX-P use this rotor.  This was a superior rotor to original Honda rotors.  Since you have a 2010, the two screws holding the rotor on may not be heat welded to the rotor but I STRONGLY, STRONGLY recommend two things to make your life MUCH better: A) order an impact driver Powerbuilt 648002 1/2-Inch Drive Impact Driver Kit for about $12 from Amazon when you buy the rotors.  If you strip the Phillips screws (as VERY often happens with a regular screwdriver), you will have a TON of frustration trying to change the rotors. 2) take the screws to a GOOD hardware store (Ace, True Value, etc.) that has a huge assortment of screws.  Get a HEX DRIVE metric screw to put in the place of the STUPID Phillips screws - they can be a longer length than the factory screws - no problem.  USE ANTI SEIZE LUBE sparingly on the new screws.  Talk to anyone who replaces Honda brakes and they will each have at least 1 horror story about the rotor screws.  Honda engineers need to have their n**ts squeezed for this simple goof that has tortured a generation of mechanics.
      « 

Show Less"
"Hi.Can you check someting for me, pease?What exactly is written in the spark plug -""Denso Japan"" or ""Assembled in USA with Japanese & US parts""?Thanks",Can't say for sure. I would go to www.centricparts.com and look at there ecatalog and check your aplication. Or if your on your home PC amazon should have drop down menus to pick year make and model. If all that jives its possible the picture doesn't match the item which sometimes happens.
"I just received this product for my gmc sierra 1500 four door crew cab. The back window ones seem far to small am I missing something or is this wrong size? The front ones seem like they should fit perfectly the back about half sized this said it would fit the crew cab maybe this is for extended cab back window?



    I just received this product for my gmc sierra 1500 four door crew cab. The back window ones seem far to small am I missing something or is this wrong size? The front ones seem like they should fit...
      » 
Read More


   I just received this product for my gmc sierra 1500 four door crew cab. The back window ones seem far to small am I missing something or is this wrong size? The front ones seem like they should fit perfectly the back about half sized this said it would fit the crew cab maybe this is for extended cab back window?
      « 

Show Less","It fits on my 2005 accord LX , i have upload a video under the customer review (??, sorry Amazon not let me upload picture as other product, so i take a video of the picture taken when it was installed in my Accord) for your reference of those holes."
what other hard wear besides the deflector is included i.e screws rubber bumper (to keep it from flexing like the oem one) ect,"i believed i paid for $80 something for a pair, and most likely the price you paid for is for one. But there are cheaper one out there cost $20 something but remember are paying for what you get. My bro is a mechanic and he suggest buy the one around $40 is good enough and i bought a set of centric, they work fine, and smooth also no much rusty after a car wash or in rainy day. To be sure you should contact seller and ask question is the best way"
Can it be used to lift a grand piano?,"Just 1, you must order 2"
Does this actually fit the 2002 325i wagon? Amazon says it does but i see no mention of it in the description.,You have to order two......order is just one
"Will it fit with a 35"" tire on the factory tire mount?","I've had one for a few years now.  I think I may have tried velcro, but in the end I decided that it generally stays put on its own.  If you're trying to put a large drink in the cupholder, it won't stay in the holder anyway."
Will this fit on my 1998 ML320?,"the design of carrier and weight of items in carrier, coins, cd's, etc , keep carrier secured to carpet."
Can you confirm me the Shipping Weight? Appears 20 pounds but I think is too.,"I had to use a regulator to get down to 60 psi, so it's well over that. Maybe close to 100."
May I have the dimensions for size S?,"When I researched this 1 year ago I found, 95-70 psi. Regulated it to 75 on application. Sorry, cannot remember the unregulated measurement..."
Making sure it comes with two mufflers correct?,"Haven't ran it yet, but was told it will produce 100 psi, I have it regulated down to 40 for my app."
does this fit the 1000>?,"Yes, I use the e2000 for powerstroke diesels. Works great for a inline pump."
"What color is the vent? The Part Number suggests white, but the picture looks like the smoky grey (which I would prefer).","I am not sure. I used my for gasoline. Since gasoline is more volatile, I cannot see why it could not pump diesel fuel. Contact Airtex for their recommendation. They have a great support staff. When diagnosing the fuel pump in my 2003 Ford E450 RV, I needed to know the pin locations on the fuel pump connector. Wiring diagrams only go so far. Airtex was able to supply that information."
will it fit a 2008 FLHTC with a California sidecar tike kit,No but I have it on a 5.0 cobra
"is this like the original heated, dim, memory, electric ?",I've put one on a bronco (302) easy to install and given me no problems.
Do these fit a 2004 f150,I put it on my samurai when doing a 1.6 16v mpfi system runs around 49 psi pump has no problem exceeding that and meeting the 62psi requirement of a small block tpi
"When you say the ""motor"" is reversable do you mean reversing the electrical polarity?  or physicaly reversing the fan blades?","It should be fine,  It was is an OEM replacement for a Ford E350 van that would have a V8 motor"
is it easy to install and look good on black jeeps.does it effect the wippers,As quiet as a oem pump.and in my opinion dependable.I have instaled many of these pumps and have had no complaints or come backs
does it come with a battery and charger?,Pump is fairly quiet. Doesn't make a humm like a normal pump tho.
is this 4x100 and 4x114,Not hardly noisy at all
Is this include Lug Nuts/Bolts or Just the Wheel?,have not use it
Is this compatible with a toyota tacoma dx 4x4?,Not noisy at all. Once your engine is started you wont be able to hear it.
will it fit 2006 unlimited?,Sorry i dont know. I bought it for a friend for his f150. I can say it works great. It got his truck back on the road.
Can this be used to sand wood with hoop and loop sanding paper?,"It comes with barbed connector's for soft fuel line. 3/8 I'd I think,   Don't know the exact thread size"
"How long are the electrical cables to the battery, and what size/type of battery is best to use ( winch to be mounted on a tilting flatbed trailer)?",Your best best would be the power steering.
Does this come with the mounting hardware?,Go here to find a cross reference numbers. I used it to find belts for my 99 4runner. http://www.gates.com/part_locator/index.cfm
Suburban 232768 Aluminum Anode Rod: Is it Aluminum OR Magnesium???  Others say Mg,might ask Auto Zone or Advance Auto.
Will this work on a 2103 Ford Flex? Will the A/V inputs work while the car is in motion?,It's your power steering belt. Here are two diagramshttp://parts.bernarditoyota.com/media/images/oe/collision/8/8510083.gifhttp://i.fixya.net/fixya20/uploads/images/F934245.jpg
Will this work on a 98 wrangler se?,power steering
Will these seat covers fit  a 2013 wrangler sport? Thank you,It's for the power steering
"Has anyone used these crossbars to mount a bike rack, or are they only for rooftop cargo carriers?",It goes on Power steering pump
Will this fit a 2014 Wrangler 4 door?,Maybe you shouldn't work on your own car?
do these vent any funes or gas when charging? Can they be used indoors?,I do not have an 2012 Honda Odyssey but according to K&N; website the HP-1010 filter will fit your mini van. The filter will fit many different cars...  I use this same for my 2006 Acura TSX and 2006 Nissan Titan.
"Hi, can this Husky Liners Custom Fit Front and Second Seat Floor Liner Set for Select Ford F-150 Models (Black) fit on my 2014, Ford, F-150, STX?",not me.
I usually wear size Large. My Chest is 44inc and Waist is 33inc. Which Size should buy for a perfect fit?,I run these on my 99 GST Eclipse.  The parts finder on here has never let me down though so I'd order with confidence ;)
"So the lugs on the hubcaps are fake, and they can not be removed. Is that correct?","I would say that it would be the same part number. I used it for my '04 Accord and I think almost all Honda cars use the same oil filter. Regardless, I would recommend the K&N; over the Honda filter any time. Best of luck."
will this darken lighter colored leathers?,Go look it up on the K&N; site to double check.
Does this cover fit a 200GT with the large windscreen?,Used it on my Acura -ck with K&N; direct of U have doubts. I did..
what is this for?,I use this on a 2012 TE Odyssey.  Fits like it says with easy install and removal.
Can this cover be installed with a bedliner in place?,"I would not go past recommended intervals. It is a good filter but remember, the filter is the only thing keeping your oil clean. That said, maybe 7,000 miles but that depends on your engine and the amount of dirt that gets sucked into the engine.."
Is this valve universal?  It doesn't state so in the description.,About 7500 miles for both Syn oil & filter
Can it be used on all types of vehicles. I have a Lexus CT.,"In my opinion K&N; makes the best filter out there. Your car's owner's manual will give you an unbelievably high interval but I'm not comfortable with this. Synthetic oil holds up better than dino (petroleum) oil and can go longer before breaking down. Some people will go up 12K miles between oil changes and then change the filter every other time, but I'm just not comfortable with this because oil is also a cleaner as well as a lube. The filter merely keeps the micro-grit out of it. I change my synthetic oil and filter together at 5K mile intervals on all of my cars, which is probably too often. But I figure this is cheap insurance. I buy my cars to keep as long as possible, so I take extra care of them. I hope this answers your question.



    In my opinion K&N; makes the best filter out there. Your car's owner's manual will give you an unbelievably high interval but I'm not comfortable with this. Synthetic oil holds up better than dino (petroleum) oil and can go longer before breaking down. Some people will go up 12K miles between oil changes and then change the filter every other time, but I'm just not comfortable with this because oil is also a cleaner as well as a lube. The filter merely keeps the micro-grit out of it. I change my synthetic oil and filter together at 5K mile intervals on all of my cars, which is probably too...
      » 
Read More


   In my opinion K&N; makes the best filter out there. Your car's owner's manual will give you an unbelievably high interval but I'm not comfortable with this. Synthetic oil holds up better than dino (petroleum) oil and can go longer before breaking down. Some people will go up 12K miles between oil changes and then change the filter every other time, but I'm just not comfortable with this because oil is also a cleaner as well as a lube. The filter merely keeps the micro-grit out of it. I change my synthetic oil and filter together at 5K mile intervals on all of my cars, which is probably too often. But I figure this is cheap insurance. I buy my cars to keep as long as possible, so I take extra care of them. I hope this answers your question.
      « 

Show Less"
"how many weels with 86$, is it 4 pices ??","That depends on the car and the way it has been driven.  My Honda ""tells"" me when it wants fresh oil, typically around 10,000 miles.  This high quality filter makes me more comfortable waiting that long."
Is that price for 1 strut or 2? I thought the price was for 2 in a box until I went to check out and seen you doubled it up. You should state that on the page . I did not purchase this for that reason,"Safest answer is to change whenever U change the oil..if the oil change interval is 5 k..and U do a great deal of hwy driving, U might stretch to every other oil change,  but why, it's the cheapest  expense..use synthetic oil and always change at least once per year"
is this the one that goes on the right side of the tailgate at the bottom,I don't think there is any different interval. I always change it each time I change the oil.
Does this item need to be welded onto pipes? How is it installed?,"K&N; makes one of the best oil filters on the market. It all depends on what your driving habits are, as the Honda oil wear algorithm takes that into account and will indicate when it is nearing the oil's end-of-life. If you use a good synthetic oil and this filter, there's no reason you can't go 7,500-10,000 miles depending on your driving."
Will this valve stem a 1999 Ford F350 Dually?,"Without knowing the year or engine, I cannot tell you for sure.  A 2007 INFINITI G35 3.5L V6 F/I uses a different filter a HP-1008.  I recommend checking the K&N; website ( http://www.knfilters.com/ ) search by vehicle function."
can this fit a buick terraza?,Check the K&N; website
how do I remove other auyos paint from my paint?,i did not try. i used it for 2012 Nissan Xterra
L Et s say Your outside and you have a radio and no where to plug it'in will this Product work,"K&N;'s website says it will fit. Since one inch equals 25.4mm, I would say to use the 26mm socket, but a 1"" wrench works best. You should like the filter."
Does it thicken the engine oil?,"I used mine on a 2014 Subaru Outback with the 4 cyl i ebngine. I do not know if it will your Honda. I just you email K&N;, that is what I did since my 2014 was too early to be listed on any website. On my cars, the results are very good."
"After you use the slime tire sealant, where can you get the replacement cartridge?","Yes, according to the K&N; website (http://www.knfilters.com/search/appsearch.aspx?type=auto&year;=2014&make;=HONDA&mod;el=Odyssey&engine;=3.5L) this is the correct oil filter for your 2014 Honda Odyssey!"
will these fit a 2010 chevy colorado,No clue.. Go to the KN website to find out
Can this product be used to fix a crack in a plastic kids slide?,"I do not know since I use mine in a 2014 Subaru Outback with an I-4 engine. You should go to the K&N; website to see what fits your car, model & year."
trying to make sure this item will work on all 4 windows on my 13' extended cab.,This particular one is for the FRONT PASSENGER SIDE WINDOW!
Good afternoon. Let me know if this lid serves to Dogde caliber?,This is for the rear trunk hood window
Is this okay Turbo Charged Engines ?,I used mine on passage side
Does this product work on chrome and glass?,I purchased it as the rear (tailgate) window.  But my understanding is that it can work on both doors -- just need to reverse the wiring.
"My back Rack on a Suzuki 700 Kingquad has a small vertical (turned up) section about 3"" tall and 13"" Wide. Will it fit this rack fit?",used it for the tailgate window...sorry.
Can this be plug on 220v?,It works great for the rear liftgate window. Not sure if it works on the other four...
"IS IT A STICK ON?  BILLET, FLAT, GLOSSY? REAR 2012 CAMARO?","Not sure about tail gate, but make sure to order actual passenger or drivers side part. We ordered for a 1998 Camry and works well."
how do you relace the headlight unit,Have u pulled the old out if it looks alike it should fit
Is this product any good for outdoor storage?  Is it waterproof/resistant?,"It replaced the tail gate motor on my 2004 Sequoia perfectly. Mine is the limited, but the motor doesn't differ between the two models.  Not sure about the rear door window."
Does this fit the 2013 suburban?,yes
Is this for the passenger or the driver side?,It should.
"Will I be able to inflate a car tire with its included attachments or is a dual tire inflator chuck needed? Can it be used on schrader tire valves? If additional attachments are needed to inflate car tires, what do I need to get?



    Will I be able to inflate a car tire with its included attachments or is a dual tire inflator chuck needed? Can it be used on schrader tire valves? If additional attachments are needed to inflate...
      » 
Read More


   Will I be able to inflate a car tire with its included attachments or is a dual tire inflator chuck needed? Can it be used on schrader tire valves? If additional attachments are needed to inflate car tires, what do I need to get?
      « 

Show Less",I have a 2002 Toyota Sequoia and it works perfectly with it. I'm not sure on the 2003.
The package says simply to machine wash and dry these towels.  A tag on the individual towels says to wash in detergent and VINEGAR.  What??,"Adrian - Sorry, but this is a classic case of computer stupidity.  How in all the universe would the fact of installing the Cardone motor on a 1997 Camry qualify me to answer your question?  Obviously the only thing I can tell you is that it installed and worked very well on a 1997 Camry.  Just a thought - why not ask Cardone???  I'm sure they have online customer service.  Happy hunting!   '"
will these fit a 2012 altama,im not sure but if amazon says it fits it will fit I jus brought one for my 2001 Toyota Tacoma and it wrks just fine!
How to use it for power in a condo.,"47-10028 - Reman A-1 Cardone Window Lift Motor [W/LIFT MTR]  Front,Right, Contains Gear, w/o Reg, 1 Per VehWe do not have one for your tailgate door window. I apologize. We have them for the front and rear left and right side only. Thank you for your business"
I have a 2000 Sienna and my power sliding door handle broke... Is this the right product? Will it work on the power sliding door?,"Hello.This shows to fit the vehicle (front passenger right).Thank you,StaffStockWiseAuto"
The order had the passenger handle instead of the driver handle in it. The packaging said driver side. How can I get this fixed?,"I have a 2001 Seq SR5 and I had to replace the tailgate window motor and it worked.  I understand that 2001 and 2003 is basically the same model and the motors for all the windows are same, so it should work for you."
does it match with 1C8 color code? (silver),I installed it on the passenger side - perfect fit and it works just fine!
do these fit a 10mm hole?,"Driver side, but after the 30 days warranty it stop working and I send it back never got a answer from seller"
is this item chrome?,It's the passenger motor
does this include head sets and antenna?,We used it for the tailgate window
does it fit 2006 g6,Can you please provide us with your complete vehicle information so we can better assist you.
what is the DOT date,Yes. I used it for a 2001 Toyota Sequoia. It worked perfectly.
does this fit a 2013 victory hardball?,I have 2001 Seq as well and I had to replace the tailgate window motor and it worked.  I was told that all the window motors are the same on this vehicle.  Therefore it should work for you as well.
"If it runs on a 12V DC power supply, can it just display the temperature from the sensor itself, not by cables, etc.. ?","i do not know, i got this to fit into an 87 supra, and it fit fine"
hi . do you have the triangular part that is located after the mirror ... between the fender and the mirror ? do you now the name ?,My car is a '97 Camry - don't' know why they asked me!   Sorry I can't really help!
is this mirror for a 2009 lancer,"I replaced my drivers window motor in my 2000 camery, it went very easy, but the electrical plug was different (colors matched) so I spliced it and Toyota had rivited the original motor in so I had to rivit it back in.Motor wks great."
Will this top work with out the roll cage padding?,"Sorry,I don't known about Your car 2001 Toyota Sequoia driver side front window motor .  Before I order replace for my car 2000 Toyota Camry Passenger side rear window motor exact fit and working good with my car . But I known the window motor apply for many Toyota."
will it fit in dipstick tube for oil change on boat?   Thanks in advance,If this is the exact fit for the door motors then it should work very well. I used the motor on the rear hatch door and it worked very well. I'm very happy to have ordered this motor. My Toyota Sequoia is a 2004.
Does the he Tap holder/Guide fit sungly in the Deep Well Spark plug pockets to insure proper cutting angle? any play between may = missalignment?,According to our system this item does show to fit your vehicle but the listing does not specify it if fits from your tailgate.
"It states ""Dealer fills battery from included acid tubes."" Why the dealer?",Hi. What Is your vehicle info including engine size so I can check? Thanks
"is it ok to use outside,spring though fall, will the rain damage the fan",It's listed as the rear left.  You can get this info from www.monroe.com.  put in you car info syncs it will bring up all strut numbers and their location.
do these come as a set of two or one single seat cover,PN 171681 is a driver's side rear.
will this fit a 2013 Mercedes E350 windshield???Thanks,I bought struts for front and rear in which according to Monroe are the wrong struts for 1999 Toyota Avalon.  Verify Amazon suggested parts with Monroe.com suggested parts before purchasing.
Will these fit a 2013 Sorento?,Rear
what is the exact part number on this item?,"rear strut, about an hour to install"
Are the TPMS sensors able to be mounted to the wheels easily?  Are these wheels the same dimsensions as facory wheels/?,Not sure what your asking but the struts I bought from Amazon 2 1/2 years ago were rear.
What is the width of this jack across the front wheels?,rear strut
"Hi,  are these FRONT STRUTS for a 1999 Grand Am  I need two and would like to order the correct part.",No
just want to make sure. is the 9003 bulb low and high beam?,Left an rights are different. 6 cylinder an four cylinder models are different to
whats the differnce between Philips 9006 X-treme Power Headlight and Philips 9006 55w XPS2 x 1 Pair (2) New Low Beam Headlight  Bulbs D2,left and right are different. Front and rear are different. Check the Monroe website for specific part numbers    http://www.monroe.com/en-US/catalog/e-Catalog
Is this for the new body style? I have a 1999 Silverado according to GM the body style changed that year and it can take two different ones.  I have the new style according to my vin #,"No, the bracket above the spring will need to face the opposite direction for the other side so a different strut will be required for each side."
Is this for the front or rear?  I'm inquiring for a 350Z.,no they are not the same
"I purchased this water pump, but it seems to have no weep hole like the one that came with the vehicle. Hidden by the pulley, or defect, or redesign?","These are not the same on the front of the vehicle, the left and right are 1 character different, try 171680."
1998 chev 1500 v8 ?,IT IS REAR 2001 Toyota camry
Please confirm that the price is for (2) Rear springs.,"I don't remember but you can visit the Monroe website and look yours up by application. You probably wont beat the Amazon price, Monroe is best for main stream vehicles."
Is it work to chevrolet corsa 2001??,If you Google the number it will tell you. When they come in the will have an L and R on them. I pitched an electric impact wrench and it helped me tremendously.
dose this come with wire harnes,EITHER FRONT OR REAR ALL ARE SAME
How many square feet does one gallon cover?,Item should be listed as front or rear by the seller or check for the compatible part from manufacturing. ...it will definitely fit toyota camry. ..I have installed rear strut myself and Monroe struts are awesome.
"Hi, I need to replace a Left Hand Drive Honda CR-V 2002 actuator for the driver's door (Right Hand), will this work for it? Thank you in advance.",Verify the correct fit at www.Monroe.com.
Will this fit my 2013 5.7 challenger r/t,Sorry I don't know.
This accessory is for KLR 650?,Yes.
2014 Toyota Tacoma Crew cab. Do you have to drill holes in your roof to run the wires down or is there another way to avoid roof holes?,"Yes, comes with all items pictured. nut, cotter pin, grease zerk, and dust shield."
I have a 2010 GMC Canyon Z71 4X4 with 265/70R17 tires.  Will these fit?,Yes. I did not do the install but a local mechanic did it for me.
Will this crank a car that has a battery that will not hold a load ? The battery is fully charged but will not crankcar.,"I have no clue I did not even open the box. I took it to the fix it shop and they did the work. They did not have any complaints, and I'm very happy with the price"
would this fit a kia sportage ex 2014?,"mine did, but don't count on different supplier to include everything in the pictures"
"Will this product fit my stock (i.e., no lift kit installed) 2007 Rubicon Unlimited?",yes
"My 10si is a 12 o'clock, as long as the output wire is long enough, any reason this one wont work?   Thx",I doubt it. The suspension on the explorer is more like an F-150 than a F-250. You would have to go to the Moog website.
What is included in the box with the fog lights?,"I'm not sure if it fits an explorer, it fit my '02 f250."
will this kit pass DMV TO BE LEGAL,"Do what I did , go on the moog web site and get the part # for your auto then corder from Amazon"
Does anybody have a 2010 Honda accord that got this product? If so did it fit?,"no that one is for a 4x4, you would need lower k80027 or uppers k80027"
I want to use this for changing trailer tires using and impact wrench rated at 7 amps. Just wondering if this could handle it.,"Not really sure it will fit.  Probably not.  You should check the part against the ""Make sure it fits"" application menu to see if it is specific to your vehicle."
Does this include all mounting brackets?,No there are different joints for the 2WD trucks.
Is the item durable?,I bought these for a four wheel drive Dodge Ram.  You should go to the Moog site for a definitive answer.
Will this fit the new body style of the 1999 Chevy Silverado 1500?,"I say no, I doubt that it will fit. I am willing to bet that 2wd ball joints and 4wd ball joints are different . This K80026 ball joint was bought to fit my F 350 4x4. Go to the MOOG web page and do a search and get the one that fits your truck. NUFF SAID."
"Hello, would it matter if my 2013 civic coupe is not an SI, would the spoiler still fit good ?",One per package.
Is the 'push bar' really strong enough to push another vehicle?  Or is it just bolted on at the bottom and would fold if pushed hard?,1
do these work with the adjustable headlights found on the 2010 tundra?,There is only one in the package.
Are bulbs included?,One.
does the fuel line connect to a 90 degree elbow or is this a straight connector?,"I believe so but not 100% positive. Although if you grease these I can't possibly imagine you wearing them out. Even the nongreasable Ford ones went 310,000 rough miles on my Powerstroke without a hiccup."
Will this cargo net fit a 2013 Acadia Denali?,"Moog's warranty on ball joints has always been if it ""fails due to a defect in materials or workmanship as long as the product is used normally and serviced and installed properly on your vehicle.""  So it would have to fail quickly and you would need to prove that it was defective and that it was installed professionally.  This has always been my understanding.  There are parts houses that will further back up the products they sell."
is this 1 or 1 pair?,I don't remember. Their Moogs so they're the best if you adk me. The newer models self-lubricate from what I hear. Even better than this model.
Does this fit the 2014 Silverado as well?,yes.
